ID,stationName,Date,Time,Status,Frequency,df/dt,B345_BUSA_VS Magnitude,B345_BUSA_VS Angle,B345_BUSB_VS Magnitude,B345_BUSB_VS Angle,T115_T1X_VS Magnitude,T115_T1X_VS Angle,T115_T2X_VS Magnitude,T115_T2X_VS Angle,L345_3165_IS Magnitude,L345_3165_IS Angle,L345_3619_IS Magnitude,L345_3619_IS Angle,L345_3280_IS Magnitude,L345_3280_IS Angle,L345_3921_IS Magnitude,L345_3921_IS Angle,T115_T1X_IS Magnitude,T115_T1X_IS Angle,T115_T2X_IS Magnitude,T115_T2X_IS Angle
99999,XXXXX,1/7/2021,12:13:38.500,00 00,60.001999,0,357041.25,-179.111771,356669.2188,-179.083115,117978.8438,-170.987228,118488.7266,177.605179,226.138382,-129.871765,228.884995,-131.430237,498.969299,-155.643417,499.884827,-155.465805,2024.258911,-172.09877,797.435364,-3.289054
99999,XXXXX,1/7/2021,12:13:38.533,00 00,60.001999,0,357041.25,-179.083115,356669.2188,-179.054474,117976.6484,-170.958588,118484.3594,177.63382,227.053925,-130.106705,229.800537,-131.413025,499.884827,-155.775192,501.715912,-155.419968,2026.089966,-172.035751,798.350891,-3.300515
99999,XXXXX,1/7/2021,12:13:38.567,00 00,60.001999,0,357041.25,-179.054474,356669.2188,-179.025833,117972.2813,-170.929932,118484.3594,177.662476,227.053925,-130.238464,229.800537,-131.378662,499.884827,-155.849686,501.715912,-155.505905,2025.174438,-172.018555,797.435364,-3.277593
99999,XXXXX,1/7/2021,12:13:38.600,00 00,60.000999,0,357052.1875,-179.025833,356680.1563,-178.997177,117970.0859,-170.895554,118484.3594,177.691116,227.053925,-130.066589,229.800537,-130.983322,500.800385,-155.843964,501.715912,-155.305374,2026.089966,-171.961258,798.350891,-3.203116
99999,XXXXX,1/7/2021,12:13:38.633,00 00,60.001999,0,357041.25,-179.002899,356680.1563,-178.974258,117967.8984,-170.866913,118486.5391,177.719772,227.053925,-129.814484,228.884995,-131.223953,499.884827,-155.694977,502.63147,-155.316833,2027.005615,-171.932602,798.350891,-3.231762
99999,XXXXX,1/7/2021,12:13:38.667,00 00,60.000999,0,357052.1875,-178.968536,356680.1563,-178.93988,117967.8984,-170.83252,118488.7266,177.748413,227.053925,-129.791565,229.800537,-131.201035,499.884827,-155.488724,502.63147,-155.167862,2027.005615,-171.88678,797.435364,-3.140087
99999,XXXXX,1/7/2021,12:13:38.700,00 00,60.001999,0,357041.25,-178.945618,356680.1563,-178.916962,117963.5234,-170.809616,118490.9219,177.777069,227.053925,-129.894699,229.800537,-131.212494,499.884827,-155.500183,501.715912,-155.328293,2027.921143,-171.852402,796.519775,-3.134364
99999,XXXXX,1/7/2021,12:13:38.733,00 00,60.001999,0,357041.25,-178.911224,356680.1563,-178.888321,117963.5234,-170.775238,118490.9219,177.80571,227.053925,-129.740005,229.800537,-131.0177,499.884827,-155.477264,502.63147,-155.253799,2027.921143,-171.823746,797.435364,-3.117165
99999,XXXXX,1/7/2021,12:13:38.767,00 00,60.001999,0,357041.25,-178.882584,356680.1563,-178.853943,117963.5234,-170.74086,118488.7266,177.840088,227.969467,-130.083786,229.800537,-131.143738,500.800385,-155.574661,501.715912,-155.167862,2028.83667,-171.766464,797.435364,-3.111441
99999,XXXXX,1/7/2021,12:13:38.800,00 00,60.001999,0,357041.25,-178.859665,356680.1563,-178.825287,117959.1406,-170.717941,118488.7266,177.868744,226.138382,-129.934799,229.800537,-131.097916,499.884827,-155.511642,501.715912,-155.167862,2028.83667,-171.74353,796.519775,-3.071335
99999,XXXXX,1/7/2021,12:13:38.833,00 00,60.001999,0,357052.1875,-178.81955,356680.1563,-178.790909,117959.1406,-170.677841,118493.1016,177.897385,227.053925,-129.88324,230.71608,-131.178131,499.884827,-155.460083,501.715912,-155.104843,2029.752197,-171.726349,797.435364,-3.002582
